Filename,Correct,Total,Accuracy
trained_model_10ep1.pth,661,1002,0.6596806387225549
trained_model_5ep0.pth,664,1002,0.6626746506986028
trained_model_5ep1.pth,684,1002,0.6826347305389222
trained_model_5ep10.pth,666,1002,0.6646706586826348
trained_model_5ep11.pth,717,1002,0.7155688622754491
trained_model_5ep12.pth,703,1002,0.7015968063872255
trained_model_5ep13.pth,686,1002,0.6846307385229541
trained_model_5ep14.pth,694,1002,0.6926147704590818
trained_model_5ep15.pth,688,1002,0.6866267465069861
trained_model_5ep16.pth,721,1002,0.719560878243513
trained_model_5ep3.pth,678,1002,0.6766467065868264
trained_model_5ep4.pth,698,1002,0.6966067864271457
trained_model_5ep5.pth,690,1002,0.688622754491018
trained_model_5ep6.pth,703,1002,0.7015968063872255
trained_model_5ep7.pth,697,1002,0.6956087824351297
trained_model_5ep8.pth,691,1002,0.689620758483034
trained_model_5ep9.pth,719,1002,0.717564870259481
